Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Puzzle,5TH Cell,0.09,0.0,0.0,0.01,0.1,71.0,17,6.3,39,5TH Cell,E10+
The Ant Bully,PS2,2006,Platform,Artificial Mind and Movement,0.05,0.04,0.0,0.01,0.1,52.0,19,4.2,6,Artificial Mind and Movement,E10+
Conflict: Global Terror,XB,2005,Shooter,Pivotal Games,0.08,0.02,0.0,0.0,0.1,62.0,24,7.9,8,Pivotal Games,M
Minority Report: Everybody Runs,GC,2002,Action,Treyarch,0.08,0.02,0.0,0.0,0.1,53.0,19,7.4,20,Treyarch,T
Monster Rancher EVO,PS2,2005,Role-Playing,Tecmo,0.02,0.02,0.05,0.01,0.1,58.0,16,6.8,8,Tecmo,E10+
Football Director DS,DS,2008,Sports,Pinnacle,0.0,0.1,0.0,0.0,0.1,75.0,18,7.4,15,Pinnacle,E
Project Hacker: Kakusei,DS,2006,Action,Nintendo,0.0,0.0,0.1,0.0,0.1,68.0,22,7.4,20,Nintendo,E
SimAnimals Africa,DS,2009,Simulation,Electronic Arts,0.08,0.02,0.0,0.01,0.1,70.0,17,7.5,19,Electronic Arts,E
Karaoke Revolution,PS3,2009,Misc,Blitz Games Studios,0.07,0.02,0.0,0.01,0.1,66.0,8,7.1,13,Blitz Games Studios,T
Terraria,PSV,2013,Action,Engine Software,0.0,0.01,0.09,0.0,0.1,85.0,17,7.8,112,Engine Software,T
Guitar Hero: Van Halen,PS2,2009,Misc,Neversoft Entertainment,0.05,0.04,0.0,0.01,0.1,69.0,17,7.1,13,Neversoft Entertainment,T
The Whispered World,PC,2009,Adventure,Daedalic Entertainment,0.0,0.08,0.0,0.02,0.1,70.0,41,7.6,77,Daedalic Entertainment,E
Olympic Summer Games: Atlanta 1996,PS,1996,Sports,U.S. Gold,0.06,0.04,0.0,0.01,0.1,75.0,18,7.4,15,U.S. Gold,E
Disney's The Haunted Mansion,GC,2003,Platform,Take-Two Interactive,0.08,0.02,0.0,0.0,0.1,69.0,17,7.7,16,Take-Two Interactive,E
Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008,Fighting,Capcom,0.0,0.0,0.1,0.0,0.1,72.0,25,7.6,24,Capcom,E
Alvin and the Chipmunks: Chipwrecked,X360,2011,Misc,Behaviour Interactive,0.09,0.01,0.0,0.01,0.1,69.0,17,5.1,8,Behaviour Interactive,E10+
Water Sports,Wii,2009,Action,Activision,0.05,0.04,0.0,0.01,0.1,68.0,22,7.4,20,Activision,E
Agatha Christie: The ABC Murders,DS,2009,Adventure,Dreamcatcher,0.08,0.01,0.0,0.01,0.1,53.0,11,6.5,4,Dreamcatcher,T
KORG DS-10 Synthesizer Plus,DS,2009,Misc,AQ Interactive,0.07,0.0,0.02,0.01,0.1,69.0,17,7.1,13,AQ Interactive,E
Darius Gaiden,SAT,1995,Shooter,Acclaim Entertainment,0.0,0.0,0.1,0.0,0.1,73.0,32,7.4,27,Acclaim Entertainment,E
Help Wanted: 50 Wacky Jobs,Wii,2008,Simulation,Hudson Soft,0.06,0.03,0.0,0.01,0.1,65.0,12,7.0,5,Hudson Soft,E10+
All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,68.0,22,7.4,20,Namco Bandai Games,E
Beach Spikers: Virtua Beach Volleyball,GC,2002,Sports,Sega AM2,0.08,0.02,0.0,0.0,0.1,76.0,31,8.1,9,Sega AM2,E
Draglade,DS,2007,Fighting,Dimps Corporation,0.09,0.0,0.0,0.01,0.1,71.0,23,7.5,4,Dimps Corporation,E10+
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Puzzle,5TH Cell,0.09,0.0,0.0,0.01,0.1,68.0,7,6.2,20,5TH Cell,E10+
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360,2009,Role-Playing,Bethesda Softworks,0.09,0.0,0.0,0.01,0.1,74.0,30,7.8,33,Bethesda Softworks,M
You Don't Know Jack: Mock 2,PS,2000,Misc,Jellyvision,0.06,0.04,0.0,0.01,0.1,82.0,6,7.1,13,Jellyvision,E
3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,Avalon Interactive,0.06,0.04,0.0,0.01,0.1,70.0,17,7.5,19,Avalon Interactive,E
Jade Cocoon 2,PS2,2001,Role-Playing,Genki,0.05,0.04,0.0,0.01,0.1,76.0,16,7.8,22,Genki,T
Lord of Apocalypse,PSV,2011,Role-Playing,Square Enix,0.0,0.0,0.1,0.0,0.1,74.0,30,7.8,33,Square Enix,E
Igor: The Game,Wii,2008,Adventure,Santa Cruz Games,0.09,0.0,0.0,0.01,0.1,66.0,17,7.6,14,Santa Cruz Games,E
Kabushiki Baibai Trainer: Kabutore!,DS,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,70.0,17,7.5,19,Konami Digital Entertainment,E
Dancing on Ice,Wii,2010,Sports,Ghostlight,0.0,0.09,0.0,0.01,0.1,75.0,18,7.4,15,Ghostlight,E
Mana Khemia: Student Alliance,PSP,2008,Role-Playing,Gust,0.06,0.0,0.03,0.01,0.1,41.0,19,5.3,37,Gust,E10+
The Destiny of Zorro,Wii,2009,Action,Pronto Games,0.09,0.0,0.0,0.01,0.1,68.0,22,7.4,20,Pronto Games,E10+
Sword & Sorcery,SAT,1996,Role-Playing,Micro Cabin,0.0,0.0,0.1,0.0,0.1,74.0,30,7.8,33,Micro Cabin,E
Van Helsing,GBA,2004,Action,Saffire,0.07,0.03,0.0,0.0,0.1,33.0,11,6.3,6,Saffire,T
Bee Movie Game,PS2,2007,Action,Beenox,0.05,0.04,0.0,0.01,0.1,65.0,11,7.5,4,Beenox,E
Resident Evil: Revelations 2,PSV,2015,Action,Frima Studio,0.0,0.03,0.07,0.01,0.1,65.0,12,7.8,63,Frima Studio,M
Record of Agarest War Zero,X360,2010,Strategy,"RED Entertainment, Compile Heart",0.09,0.0,0.0,0.01,0.1,73.0,24,6.8,17,"RED Entertainment, Compile Heart",T
HOP,DS,2011,Platform,505 Games,0.08,0.01,0.0,0.01,0.1,69.0,17,7.7,16,505 Games,E
USA Today Puzzle Craze,DS,2009,Puzzle,Destineer,0.09,0.0,0.0,0.01,0.1,70.0,14,7.5,11,Destineer,E
Machi-Ing Maker 3 x Tousouchuu,PSP,2010,Simulation,D3Publisher,0.0,0.0,0.1,0.0,0.1,70.0,17,7.5,19,D3Publisher,E
Truth or Lies,Wii,2010,Misc,THQ,0.04,0.05,0.0,0.01,0.1,69.0,17,7.1,13,THQ,T
Kelly Slater's Pro Surfer,XB,2002,Sports,Treyarch,0.08,0.02,0.0,0.0,0.1,80.0,15,8.0,5,Treyarch,E
My Healthy Cooking Coach,DS,9999,Simulation,Ubisoft,0.09,0.0,0.0,0.01,0.1,70.0,17,7.5,19,Ubisoft,E
SNK vs. Capcom: SVC Chaos,XB,2004,Fighting,Ignition Entertainment,0.08,0.02,0.0,0.0,0.1,72.0,25,7.6,24,Ignition Entertainment,E
NFL Tour,X360,2008,Sports,EA Tiburon,0.09,0.0,0.0,0.01,0.1,49.0,35,3.1,45,EA Tiburon,E
Master of the Monster Lair,DS,2007,Role-Playing,Global A,0.09,0.0,0.0,0.01,0.1,56.0,8,7.8,33,Global A,E10+
Harry Potter and the Deathly Hallows - Part 1,PC,2010,Action,EA Bright Light,0.08,0.02,0.0,0.01,0.1,37.0,5,4.1,33,EA Bright Light,T
Sudoku Mania,DS,2006,Puzzle,FrontLine Studios,0.09,0.0,0.0,0.01,0.1,25.0,4,3.5,4,FrontLine Studios,E
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,2005,Platform,High Voltage Software,0.05,0.04,0.0,0.01,0.1,49.0,9,8.0,11,High Voltage Software,E10+
Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT,1997,Shooter,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,73.0,32,7.4,27,Namco Bandai Games,E
Resident Evil: Revelations 2,XOne,2015,Action,Capcom,0.07,0.02,0.0,0.01,0.1,75.0,22,7.5,106,Capcom,M
Thief (2014),PC,2014,Action,Square Enix,0.0,0.09,0.0,0.01,0.1,68.0,22,7.4,20,Square Enix,E
Vanishing Point,PS,2001,Racing,Clockwork Games,0.06,0.04,0.0,0.01,0.1,68.0,11,7.4,15,Clockwork Games,E
Dragonseeds,PS,1998,Action,Jaleco,0.03,0.02,0.04,0.01,0.1,68.0,22,7.4,20,Jaleco,E
The Bard's Tale,XB,2004,Role-Playing,InXile Entertainment,0.08,0.02,0.0,0.0,0.1,75.0,50,8.8,4,InXile Entertainment,T
Nodame Cantabile,DS,2007,Misc,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,69.0,17,7.1,13,Namco Bandai Games,E
The History Channel: Civil War - Secret Missions,PS3,2008,Shooter,Activision,0.09,0.0,0.0,0.01,0.1,73.0,32,7.4,27,Activision,E
Alien Hominid,PS2,2004,Shooter,The Behemoth,0.05,0.04,0.0,0.01,0.1,78.0,47,8.3,13,The Behemoth,T
World Snooker Championship 2007,PS3,2007,Sports,Sega,0.0,0.1,0.0,0.0,0.1,75.0,18,7.4,15,Sega,E
L'Aigle de Guerre,GBA,2001,Strategy,Nintendo,0.0,0.0,0.1,0.0,0.1,73.0,24,7.8,22,Nintendo,E
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Action,D3Publisher,0.0,0.0,0.1,0.0,0.1,68.0,22,7.4,20,D3Publisher,E
Lode Runner 3-D,N64,1998,Action,Infogrames,0.08,0.02,0.0,0.0,0.1,68.0,22,7.4,20,Infogrames,E
Indy Racing 2000,N64,2000,Racing,Infogrames,0.08,0.02,0.0,0.0,0.1,69.0,17,7.4,15,Infogrames,E
GT64 Championship Edition,N64,1998,Racing,Ocean,0.08,0.02,0.0,0.0,0.1,69.0,17,7.4,15,Ocean,E
Milo's Astro Lanes,N64,1998,Sports,Interplay,0.08,0.02,0.0,0.0,0.1,75.0,18,7.4,15,Interplay,E
Jeopardy!,N64,1998,Misc,GameTek,0.08,0.02,0.0,0.0,0.1,69.0,17,7.1,13,GameTek,E
Disney's Donald Duck: Goin' Quackers,N64,2000,Platform,Ubisoft,0.08,0.02,0.0,0.0,0.1,69.0,17,7.7,16,Ubisoft,E
Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,THQ,0.08,0.02,0.0,0.0,0.1,74.0,30,7.8,33,THQ,E
Virtual Pool 64,N64,1998,Sports,Crave Entertainment,0.08,0.02,0.0,0.0,0.1,75.0,18,7.4,15,Crave Entertainment,E
Flying Dragon,N64,1997,Fighting,Natsume,0.08,0.02,0.0,0.0,0.1,72.0,25,7.6,24,Natsume,E
International Superstar Soccer 64 (weekly JP sales),N64,1997,Sports,Konami Digital Entertainment,0.0,0.0,0.05,0.05,0.1,75.0,18,7.4,15,Konami Digital Entertainment,E
Gekido,PS,1999,Fighting,Infogrames,0.06,0.04,0.0,0.01,0.1,72.0,25,7.6,24,Infogrames,E
Myst,DS,2007,Adventure,Hoplite Research,0.09,0.0,0.0,0.01,0.1,43.0,25,3.5,6,Hoplite Research,E
Sword Art Online: Lost Song,PS3,2015,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,74.0,30,7.8,33,Namco Bandai Games,E
Disney's The Jungle Book,GBA,2002,Platform,Visual Impact,0.07,0.03,0.0,0.0,0.1,60.0,4,7.7,16,Visual Impact,E
Puss in Boots,DS,2011,Action,ImaginEngine,0.08,0.01,0.0,0.01,0.1,68.0,22,7.4,20,ImaginEngine,E
Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Virtuos,0.07,0.02,0.0,0.02,0.1,54.0,15,7.4,27,Virtuos,T
Murdered: Soul Suspect,X360,2014,Action,Airtight Games,0.06,0.03,0.0,0.01,0.1,68.0,22,7.2,57,Airtight Games,M
Army Men World War: Team Assault,PS,2001,Action,3DO,0.06,0.04,0.0,0.01,0.1,68.0,22,7.4,20,3DO,E
Deca Sports DS,DS,2009,Sports,Hudson Soft,0.07,0.02,0.0,0.01,0.1,57.0,10,7.4,15,Hudson Soft,E
nail'd,X360,2010,Racing,Techland,0.08,0.02,0.0,0.01,0.1,64.0,49,7.1,16,Techland,E10+
Tom Clancy's Splinter Cell,GBA,2003,Action,Ubisoft Montreal,0.07,0.03,0.0,0.0,0.1,77.0,21,8.6,8,Ubisoft Montreal,T
Bullet Witch,X360,2006,Shooter,Cavia Inc.,0.07,0.01,0.02,0.01,0.1,55.0,59,6.1,41,Cavia Inc.,M
Spider-Man: Web of Shadows,DS,2008,Action,Griptonite Games,0.09,0.0,0.0,0.01,0.1,77.0,12,7.5,14,Griptonite Games,E10+
Pinball Hall of Fame: The Williams Collection,3DS,2011,Misc,Crave,0.09,0.0,0.0,0.01,0.1,67.0,5,7.3,8,Crave,E10+
Rolling Stone: Drum King,Wii,2009,Misc,505 Games,0.09,0.0,0.0,0.01,0.1,32.0,4,1.8,4,505 Games,T
NBA Ballers: Rebound,PSP,2006,Sports,Backbone Entertainment,0.09,0.0,0.0,0.01,0.1,69.0,17,7.7,7,Backbone Entertainment,E
Marvel vs. Capcom: Clash of Super Heroes,DC,1999,Fighting,Capcom,0.0,0.0,0.1,0.0,0.1,72.0,25,7.6,24,Capcom,E
Silent Scope Complete,XB,2004,Shooter,Konami,0.07,0.02,0.0,0.0,0.1,69.0,25,7.4,5,Konami,M
King's Field: The Ancient City,PS2,2001,Role-Playing,From Software,0.05,0.04,0.0,0.01,0.1,60.0,14,8.5,13,From Software,T
LEGO Rock Raiders,PS,1999,Strategy,LEGO Media,0.06,0.04,0.0,0.01,0.1,73.0,24,7.8,22,LEGO Media,E
Ghost in the Shell,PS,1997,Simulation,Sony Computer Entertainment,0.06,0.04,0.0,0.01,0.1,70.0,17,7.5,19,Sony Computer Entertainment,E
Leisure Suit Larry: Box Office Bust,PS3,2009,Adventure,Team 17,0.06,0.03,0.0,0.01,0.1,17.0,11,1.7,37,Team 17,M
Attack of the Movies 3D,Wii,2010,Shooter,"Majesco Games, Majesco",0.09,0.0,0.0,0.01,0.1,39.0,6,7.4,27,"Majesco Games, Majesco",T
Monkey Mischief! Party Time,Wii,2008,Misc,Ivolgamus,0.09,0.0,0.0,0.01,0.1,69.0,17,7.1,13,Ivolgamus,E10+
Evil Dead: Fistfull of Boomstick,XB,2003,Action,THQ,0.07,0.02,0.0,0.0,0.1,68.0,22,7.4,20,THQ,E
Tom Clancy's Classic Trilogy,XB,2004,Shooter,Ubisoft,0.07,0.02,0.0,0.0,0.1,73.0,32,7.4,27,Ubisoft,M
Harvest Moon DS Cute (jp sales),DS,2005,Simulation,Marvelous Interactive,0.0,0.0,0.1,0.0,0.1,70.0,17,7.5,19,Marvelous Interactive,E
Little League World Series Baseball 2010,X360,2010,Sports,Now Production,0.09,0.0,0.0,0.01,0.1,55.0,4,7.4,15,Now Production,E
Indigo Prophecy,XB,2005,Adventure,Quantic Dream,0.07,0.03,0.0,0.0,0.1,84.0,51,7.7,39,Quantic Dream,M
Bleach: Dark Souls (JP sales),DS,2007,Fighting,Sega,0.0,0.0,0.1,0.0,0.1,72.0,25,7.6,24,Sega,E
Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007,Misc,Benesse,0.0,0.0,0.1,0.0,0.1,69.0,17,7.1,13,Benesse,E
Generator Rex: Agent of Providence,3DS,2011,Action,Virtuos,0.07,0.02,0.0,0.01,0.1,68.0,22,7.4,20,Virtuos,E10+
Over the Hedge,XB,2006,Platform,Edge of Reality,0.07,0.02,0.0,0.0,0.1,61.0,26,7.7,16,Edge of Reality,E10+
Cabela's North American Adventures,PSP,2010,Sports,FUN Labs,0.09,0.0,0.0,0.01,0.1,75.0,18,7.8,5,FUN Labs,T
World Series of Poker 2008: Battle for the Bracelets,PS3,2007,Misc,Left Field Productions,0.08,0.01,0.0,0.01,0.1,75.0,6,7.1,13,Left Field Productions,T
Sneakers,XB,2002,Puzzle,Media Vision,0.07,0.02,0.0,0.0,0.1,28.0,13,4.6,8,Media Vision,E
Crime Crackers,PS,1994,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.09,0.01,0.1,74.0,30,7.8,33,Sony Computer Entertainment,E
NHL 2K6,X360,2005,Sports,2K Sports,0.09,0.0,0.0,0.01,0.1,75.0,37,6.1,24,2K Sports,E10+
SCORE International Baja 1000: The Official Game,Wii,2008,Racing,Activision,0.09,0.0,0.0,0.01,0.1,69.0,17,7.4,15,Activision,E
Micro Machines V3,PS,1997,Racing,Codemasters,0.06,0.04,0.0,0.01,0.1,69.0,17,7.4,15,Codemasters,E
X-Men: Destiny,Wii,2011,Action,Silicon Knights,0.07,0.02,0.0,0.01,0.1,36.0,10,4.5,15,Silicon Knights,T
College Hoops 2K6,XB,2005,Sports,2K Sports,0.07,0.02,0.0,0.0,0.1,82.0,17,9.2,6,2K Sports,E
Contact,DS,2006,Role-Playing,Grasshopper Manufacture,0.07,0.0,0.03,0.01,0.1,73.0,36,8.2,35,Grasshopper Manufacture,E10+
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010,Strategy,THQ,0.08,0.01,0.0,0.01,0.1,73.0,24,7.8,22,THQ,E
"Sakura Wars 2: Kimi, Shinitamou koto Nakare",DC,2000,Adventure,Sega,0.0,0.0,0.1,0.0,0.1,66.0,17,7.6,14,Sega,E
Happy Feet Two,DS,9999,Action,WayForward,0.08,0.01,0.0,0.01,0.1,68.0,22,7.4,20,WayForward,E
Idol Janshi Suchie-Pai Remix,SAT,1995,Misc,Jaleco,0.0,0.0,0.1,0.0,0.1,69.0,17,7.1,13,Jaleco,E
NBA 2K16,PC,2015,Sports,2K Sports,0.03,0.06,0.0,0.01,0.1,75.0,18,5.7,65,2K Sports,E10+
Exhibition Volume 03,XB,2003,Misc,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.1,69.0,17,7.1,13,Microsoft Game Studios,E
Fate/hollow ataraxia,PSV,2014,Adventure,Type-Moon,0.0,0.0,0.1,0.0,0.1,66.0,17,7.6,14,Type-Moon,E
Marvel Super Hero Squad: The Infinity Gauntlet,3DS,2011,Action,THQ,0.07,0.02,0.0,0.01,0.1,54.0,4,7.4,20,THQ,E10+
Harvey Birdman: Attorney at Law,PSP,2008,Adventure,High Voltage Software,0.09,0.0,0.0,0.01,0.1,62.0,19,8.0,8,High Voltage Software,T
Zero4 Champ RR-Z,SNES,1995,Racing,Media Rings,0.0,0.0,0.1,0.0,0.1,69.0,17,7.4,15,Media Rings,E
Initial D: Street Stage,PSP,2006,Racing,Sega,0.0,0.0,0.1,0.0,0.1,69.0,17,7.4,15,Sega,E
Tales of Innocence R,PSV,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,74.0,30,7.8,33,Namco Bandai Games,E
Harry Potter and the Deathly Hallows - Part 2,PC,2011,Action,Electronic Arts,0.05,0.04,0.0,0.01,0.1,43.0,12,5.0,56,Electronic Arts,E
Nicktoons: MLB,DS,2011,Sports,Take-Two Interactive,0.09,0.0,0.0,0.01,0.1,75.0,18,7.4,15,Take-Two Interactive,E
Tom Clancy's HAWX 2,Wii,2010,Action,Ubisoft,0.06,0.03,0.0,0.01,0.1,47.0,11,7.4,20,Ubisoft,T
Predator: Concrete Jungle,XB,2005,Action,Eurocom Entertainment Software,0.07,0.02,0.0,0.0,0.1,46.0,17,8.0,10,Eurocom Entertainment Software,M
Lucky * Star: Ryouou Gakuen Outousai,PS2,2008,Adventure,Kadokawa Shoten,0.0,0.0,0.1,0.0,0.1,66.0,17,7.6,14,Kadokawa Shoten,E
Start the Party! Save the World,PS3,2011,Misc,Sony Computer Entertainment,0.0,0.08,0.0,0.02,0.1,69.0,17,7.1,13,Sony Computer Entertainment,E
Opoona,Wii,2007,Role-Playing,ArtePiazza,0.08,0.0,0.01,0.01,0.1,65.0,33,7.7,14,ArtePiazza,E10+
Big League Sports,Wii,2008,Sports,Koolhaus Games,0.09,0.01,0.0,0.01,0.1,75.0,18,1.4,10,Koolhaus Games,E
Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,2007,Fighting,Takara Tomy,0.0,0.0,0.1,0.0,0.1,72.0,25,7.6,24,Takara Tomy,E
Universal Studios Theme Parks Adventure,GC,2001,Misc,Kemco,0.08,0.02,0.0,0.0,0.1,39.0,11,2.9,11,Kemco,T
Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009,Misc,Nintendo,0.0,0.0,0.1,0.0,0.1,69.0,17,7.1,13,Nintendo,E
Steins;Gate,PSV,2013,Adventure,5pb,0.04,0.04,0.0,0.02,0.1,83.0,16,9.2,87,5pb,M
Piglet's Big Game,PS2,2003,Platform,Doki Denki,0.05,0.04,0.0,0.01,0.1,69.0,17,7.7,16,Doki Denki,E
Real Bout Garou Densetsu,SAT,1996,Fighting,SNK,0.0,0.0,0.1,0.0,0.1,72.0,25,7.6,24,SNK,E
"Prinny 2: Dawn of Operation Panties, Dood!",PSP,2010,Platform,Nippon Ichi Software,0.05,0.0,0.03,0.01,0.1,69.0,17,7.7,16,Nippon Ichi Software,E
Project FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.0,0.0,0.1,0.0,0.1,75.0,18,7.4,15,Electronic Arts,E
Rocky: Legends,XB,2004,Action,Venom Games,0.07,0.02,0.0,0.0,0.1,67.0,21,5.2,6,Venom Games,T
The BIGS 2,PSP,2009,Sports,Blue Castle Games,0.09,0.0,0.0,0.01,0.1,67.0,5,7.4,15,Blue Castle Games,E10+
Lord of Apocalypse,PSP,2011,Role-Playing,Square Enix,0.0,0.0,0.1,0.0,0.1,74.0,30,7.8,33,Square Enix,E
Dora & Kai-Lan's Pet Shelter,DS,2011,Strategy,Take-Two Interactive,0.08,0.01,0.0,0.01,0.1,73.0,24,7.8,22,Take-Two Interactive,E
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004,Adventure,Nintendo,0.0,0.0,0.1,0.0,0.1,66.0,17,7.6,14,Nintendo,E
Nancy Drew: The Model Mysteries,DS,2010,Puzzle,"THQ, AWE Games",0.09,0.0,0.0,0.01,0.1,70.0,14,7.5,11,"THQ, AWE Games",E10+
Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008,Adventure,Alchemist,0.0,0.0,0.1,0.0,0.1,66.0,17,7.6,14,Alchemist,E
Cate West: The Vanishing Files,DS,2008,Adventure,Magellan Interactive,0.08,0.01,0.0,0.01,0.1,68.0,4,7.6,14,Magellan Interactive,E10+
Star Trek: Shattered Universe,PS2,2004,Simulation,Starsphere Interactive,0.05,0.04,0.0,0.01,0.1,42.0,19,8.3,18,Starsphere Interactive,E
Fifi and the Flowertots,DS,2009,Misc,Avanquest,0.0,0.09,0.0,0.01,0.1,69.0,17,7.1,13,Avanquest,E
The Land Before Time: Great Valley Racing Adventure,PS,2001,Racing,TDK Mediactive,0.05,0.04,0.0,0.01,0.1,69.0,17,7.4,15,TDK Mediactive,E
System Flaw,DS,2009,Shooter,Visual Impact,0.09,0.0,0.0,0.01,0.1,73.0,32,7.4,27,Visual Impact,E
Ultra Street Fighter IV,PS4,2015,Fighting,Other Ocean Interactive,0.0,0.08,0.0,0.01,0.1,71.0,28,5.9,94,Other Ocean Interactive,T
EVE: Valkyrie,PS4,2016,Shooter,CCP,0.03,0.05,0.0,0.02,0.1,73.0,26,6.3,37,CCP,T
Dragon Ball: Evolution,PSP,2009,Fighting,Dimps Corporation,0.09,0.0,0.0,0.01,0.1,28.0,16,0.9,50,Dimps Corporation,T
The Walking Dead: Season Two,X360,2014,Adventure,Telltale Games,0.04,0.05,0.0,0.01,0.1,66.0,17,7.6,14,Telltale Games,E
The Crew: Wild Run,PS4,2015,Action,Ivory Tower,0.0,0.08,0.0,0.01,0.1,73.0,13,6.8,50,Ivory Tower,T
Pajama Sam: Don't Fear The Dark,Wii,2008,Adventure,Atari,0.09,0.0,0.0,0.01,0.1,66.0,17,7.6,14,Atari,E
The Walking Dead: Season Two,PSV,2014,Adventure,Telltale Games,0.07,0.0,0.01,0.02,0.1,66.0,17,7.6,14,Telltale Games,E
MTX Mototrax,XB,2004,Racing,Left Field Productions,0.07,0.02,0.0,0.0,0.1,79.0,39,7.4,15,Left Field Productions,E
Blast Chamber,PS,1996,Shooter,Activision,0.05,0.04,0.0,0.01,0.1,73.0,32,7.4,27,Activision,E
Championship Pony,DS,2008,Simulation,Coyote Console,0.09,0.0,0.0,0.01,0.1,70.0,17,7.5,19,Coyote Console,E
NASCAR Unleashed,PS3,2011,Racing,Firebrand Games,0.09,0.0,0.0,0.01,0.1,69.0,17,7.4,15,Firebrand Games,E
Code:Realize - Sousei no Himegimi,PSV,2014,Adventure,Idea Factory,0.05,0.0,0.03,0.02,0.1,66.0,17,7.6,14,Idea Factory,E
Natural Doctrine,PS4,2014,Role-Playing,Kadokawa,0.05,0.02,0.02,0.01,0.1,53.0,31,6.0,79,Kadokawa,M
NeverDead,X360,2012,Shooter,Rebellion,0.06,0.03,0.0,0.01,0.1,52.0,46,5.5,65,Rebellion,M
EyeToy: Operation Spy,PS2,2005,Action,SCEE London Studio,0.05,0.04,0.0,0.01,0.1,53.0,23,7.4,20,SCEE London Studio,E
MotoGP 07,PS2,2007,Racing,Milestone,0.05,0.04,0.0,0.01,0.1,62.0,26,9.1,7,Milestone,E
Blades of Time,PS3,2012,Action,Gaijin Entertainment,0.04,0.03,0.01,0.01,0.1,53.0,19,7.2,22,Gaijin Entertainment,M
Disney Sing It! High School Musical 3: Senior Year,X360,2009,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.1,69.0,17,7.1,13,Disney Interactive Studios,E
Thor: God of Thunder,3DS,2011,Action,Red Fly Studio,0.06,0.03,0.0,0.01,0.1,55.0,10,4.2,5,Red Fly Studio,T
Option Tuning Car Battle,PS,1998,Racing,MTO,0.0,0.0,0.09,0.01,0.1,69.0,17,7.4,15,MTO,E
Ridge Racer 2,PSP,2006,Racing,Bandai Namco Games,0.0,0.02,0.07,0.01,0.1,69.0,17,7.4,15,Bandai Namco Games,E
Pro Evolution Soccer 2016,X360,2015,Sports,Konami,0.04,0.05,0.0,0.01,0.1,75.0,18,7.0,34,Konami,E
Derby Jockey 2,SNES,1995,Sports,Asmik Corp,0.0,0.0,0.1,0.0,0.1,75.0,18,7.4,15,Asmik Corp,E
Cubic Ninja,3DS,2011,Platform,AQ Interactive,0.05,0.04,0.0,0.01,0.1,51.0,15,5.9,14,AQ Interactive,E
Famicom Mini: Mappy,GBA,2004,Platform,Nintendo,0.0,0.0,0.09,0.0,0.1,69.0,17,7.7,16,Nintendo,E
Ben 10 Galactic Racing,X360,2011,Racing,Monkey Bar Games,0.07,0.02,0.0,0.01,0.1,69.0,17,7.4,15,Monkey Bar Games,E
Reign of Fire,XB,2002,Shooter,Bam Entertainment,0.07,0.02,0.0,0.0,0.1,54.0,13,7.4,27,Bam Entertainment,M
Descent Maximum,PS,1997,Shooter,Interplay Productions,0.05,0.04,0.0,0.01,0.1,73.0,32,7.4,27,Interplay Productions,E
F1 2014,PC,2014,Racing,Codemasters Birmingham,0.0,0.09,0.0,0.01,0.1,61.0,20,4.8,65,Codemasters Birmingham,E
King of Clubs: Mini Golf,Wii,2008,Sports,Oxygen Interactive,0.09,0.0,0.0,0.01,0.1,75.0,18,7.4,15,Oxygen Interactive,E
Harvest Moon: Frantic Farming,DS,2009,Puzzle,Natsume,0.08,0.0,0.0,0.01,0.1,72.0,7,6.8,6,Natsume,E
